X,Y,ele,time,magvar,geoidheigh,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsd,dgpsid,wptx1_Wayp,layer,path
44.171934,-20.779366,71.318534999999997,2019/03/01 03:25:37.000,,,6 030101,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.172334,-20.779439,61.970180999999997,2019/03/01 03:30:39.000,,,6 022602,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.174076,-20.780966,60.918793000000001,2019/03/01 03:46:11.000,,,3 020301,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.173594,-20.78107,62.133186000000002,2019/03/01 03:54:39.000,,,3 021403,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.173768,-20.781004,61.263283000000001,2019/03/01 03:58:20.000,,,3 021404,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.173495,-20.781341,57.826461999999999,2019/03/01 04:05:44.000,,,3 021402,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.173383,-20.781401,61.868656000000001,2019/03/01 04:08:53.000,,,3 021401,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.172828,-20.78111,64.048004000000006,2019/03/01 04:14:52.000,,,3 011301,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.172728,-20.780879,58.103645000000000,2019/03/01 04:21:38.000,,,6 021004,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
44.172655,-20.781048,59.062255999999998,2019/03/01 04:24:56.000,,,6 011701,,,,,,,,,,"Flag, Blue",,,,,,,,,0,Waypoints_01-MAR-19 waypoints,D:/Google Drive/Graduate School/Research/FieldSeason2019KMNP/Waypoints/Waypoints_01-MAR-19.gpx|layername=waypoints
