X,Y,ele,time,name
44.171934,-20.779366,71.318535,25:37.0,6 030101
44.172334,-20.779439,61.970181,30:39.0,6 022602
44.174076,-20.780966,60.918793,46:11.0,3 020301
44.173594,-20.78107,62.133186,54:39.0,3 021403
44.173768,-20.781004,61.263283,58:20.0,3 021404
44.173495,-20.781341,57.826462,05:44.0,3 021402
44.173383,-20.781401,61.868656,08:53.0,3 021401
44.172828,-20.78111,64.048004,14:52.0,3 011301
44.172728,-20.780879,58.103645,21:38.0,6 021004
44.172655,-20.781048,59.062256,24:56.0,6 011701
44.172645,-20.781128,61.243992,30:28.0,6 021003
44.172633,-20.781128,62.502361,33:35.0,6 021002
44.172115,-20.780795,59.812046,46:40.0,3 022808
44.171782,-20.781193,58.325264,55:14.0,6 021001
44.171838,-20.781149,62.538254,59:44.0,6 021504
44.170885,-20.780634,61.787685,22:11.0,6 022806
44.170896,-20.780643,63.93948,26:09.0,6 022807
44.170593,-20.780631,60.647449,32:07.0,6 022805
44.170377,-20.780698,63.972702,35:37.0,6 022804
44.17034,-20.781021,64.606201,42:21.0,6 011604
44.169642,-20.780631,50.577446,49:55.0,6 022803
44.169611,-20.780613,59.652676,54:07.0,6 022802
44.169602,-20.780588,61.253521,59:14.0,6 022801
44.169593,-20.780586,,30:26.0,3 030309
44.169041,-20.78451,58.229939,53:08.0,2 030203
44.170328,-20.784597,63.309166,00:36.0,2 030202
44.171072,-20.784159,59.184689,11:05.0,2 030201
44.170834,-20.783465,58.905781,23:52.0,2 020704
44.170757,-20.783612,61.450836,27:14.0,2 012101
44.171246,-20.783505,46.157272,36:53.0,2 011301
44.171616,-20.783273,48.387001,40:42.0,2 011305
44.171555,-20.78328,56.815746,48:08.0,2 011303
44.171569,-20.783302,59.909195,48:16.0,2 011304
44.171699,-20.783115,59.385967,50:26.0,2 020701
44.17185,-20.783062,57.917809,59:34.0,3 011801
44.171951,-20.78367,47.373756,09:03.0,2 021803
44.173064,-20.783498,53.114861,14:59.0,3 011802
44.173174,-20.78352,58.389942,19:20.0,3 011803
44.173233,-20.783559,62.112839,20:05.0,3 022701
44.173316,-20.783626,60.75367,27:05.0,3 011804
44.173855,-20.783258,52.977203,31:57.0,3 011805
44.174213,-20.783331,57.893715,36:28.0,3 013105
44.17457,-20.782983,65.316216,44:16.0,3 013104
44.17524,-20.782968,64.687881,49:59.0,3 013103
44.175471,-20.783006,62.905998,56:47.0,3 013102
44.175569,-20.782997,62.329441,58:00.0,3 012001
44.175153,-20.783754,,26:18.0,6 030202
44.171253,-20.779662,58.327244,33:07.0,6 030204
44.171243,-20.77961,56.979244,34:09.0,6 030202
44.171258,-20.779633,56.518204,35:01.0,6 030201
44.17125,-20.779649,63.856663,05:13.0,6 030203
44.171253,-20.779667,68.410126,09:13.0,6 030501
44.171221,-20.779517,64.900604,31:14.0,6 020501
44.171318,-20.779142,,28:56.0,2 030501
44.174529,-20.785814,68.292679,40:03.0,2 030501
44.172636,-20.786449,65.20121,51:56.0,2 021303
44.172273,-20.786287,59.17646,56:52.0,2 021304
44.171844,-20.786399,60.469982,59:37.0,2 022501
44.17103,-20.786754,59.042873,03:33.0,2 022502
44.170922,-20.786795,59.303219,05:27.0,2 022503
44.172901,-20.778982,59.184669,40:33.0,6 022201
44.17284,-20.778802,70.2295,24:14.0,6 030601
44.170253,-20.779066,46.678131,09:50.0,6 020202
44.17026,-20.779229,55.202377,12:56.0,6 022501
44.171314,-20.780504,71.031326,28:10.0,6 030206
44.170401,-20.781192,58.828812,38:13.0,6 030207
44.1706,-20.78139,62.44339,46:10.0,6 011605
44.171489,-20.781762,63.350952,59:43.0,6 011702
44.172333,-20.781104,61.482418,12:26.0,3 011302
44.172492,-20.780549,66.248222,16:29.0,6 022206
44.172039,-20.78072,64.699051,20:08.0,6 022207
44.173657,-20.781392,67.214806,32:56.0,3 030301
44.174864,-20.781363,60.900944,41:39.0,3 030302
44.175304,-20.781126,63.894238,46:07.0,3 030303
44.175594,-20.781178,65.451118,52:59.0,3 030304
44.175791,-20.781104,65.780739,56:09.0,3 030306
44.17579,-20.781129,65.988129,57:05.0,3 030305
44.176075,-20.781383,56.935463,07:41.0,3 030307
44.176022,-20.781901,57.564629,10:58.0,3 030308
44.176089,-20.78209,62.831474,16:01.0,3 030309
44.17611,-20.782109,63.040009,17:34.0,3 022401
44.17647,-20.782687,57.76218,24:52.0,3 012003
44.176692,-20.782637,60.404068,35:02.0,3 010901
44.176254,-20.783049,54.896999,39:51.0,3 013101
44.175192,-20.783536,58.128063,57:39.0,3 020602
44.174175,-20.784183,50.544384,03:45.0,3 022703
44.170582,-20.783403,57.167313,15:31.0,2 020703
44.17021,-20.783666,64.078537,20:35.0,2 020702
44.174176,-20.779706,70.53019,06:40.0,6 010902
44.173041,-20.778731,66.915085,09:41.0,6 011003
44.170825,-20.779388,69.838943,05:20.0,6 021601
44.170537,-20.779686,63.454624,15:29.0,6 021602
44.170905,-20.779859,57.271702,05:43.0,6 021701
44.172184,-20.779902,55.592064,26:16.0,6 021502
44.17246,-20.779464,55.153603,34:52.0,6 021501
44.17246,-20.779781,55.327282,38:01.0,6 011002
44.174127,-20.779775,36.701851,51:02.0,6 010902
44.173412,-20.779509,55.666237,59:08.0,6 010901
44.172726,-20.779492,57.893932,07:03.0,6 011001
44.172996,-20.778755,40.151154,10:52.0,6 011003
44.172507,-20.778783,55.435837,16:24.0,6 011403
44.172998,-20.778837,63.269428,11:17.0,6 011404
44.172954,-20.778808,63.881477,07:16.0,6 011405
44.172111,-20.779432,56.212799,35:39.0,6 011601
44.172234,-20.779316,61.114166,44:30.0,6 011402
44.172217,-20.779343,62.903244,46:19.0,6 011401
44.171848,-20.779313,58.328709,59:21.0,6 011602
44.171103,-20.778756,54.245018,05:51.0,6 020204
44.170987,-20.778896,60.985771,11:18.0,6 020203
44.170281,-20.779016,56.374538,33:24.0,6 020201
44.170305,-20.779277,54.694435,38:01.0,6 021603
44.170548,-20.780282,58.772346,45:10.0,6 011603
44.171584,-20.783635,82.044693,24:29.0,6 021802
44.175812,-20.783088,62.289448,31:53.0,3 022101
44.175374,-20.783525,64.433754,52:58.0,3 020601
44.175412,-20.783154,60.250702,07:11.0,3 012002
44.173092,-20.778775,67.747147,17:49.0,6 022203
44.169831,-20.785007,52.870365,04:40.0,2 022301
44.170561,-20.784447,63.989052,11:09.0,2 011501
44.171012,-20.784191,59.160126,18:51.0,2 021801
44.172389,-20.785412,59.292778,39:24.0,2 011201
44.174309,-20.784832,64.779373,54:41.0,2 011901
44.174583,-20.785277,58.198078,00:26.0,2 011902
44.174512,-20.785736,63.050426,05:02.0,2 021302
44.174569,-20.785874,67.18634,12:07.0,2 021201
44.174626,-20.785872,70.239975,16:25.0,2 021301
44.174492,-20.786113,66.224686,21:36.0,2 021202
44.174589,-20.786068,66.95546,30:19.0,2 021203
44.176462,-20.782277,69.653709,53:07.0,3 022403
44.176526,-20.782243,67.346039,50:01.0,3 022402
44.176452,-20.782302,60.912495,19:37.0,3 022404
44.176403,-20.782313,68.292145,00:37.0,3 022405
44.176325,-20.781605,62.471268,44:52.0,3 012004
44.177889,-20.779998,61.235264,00:17.0,12 011001
44.17845,-20.780035,54.861958,09:21.0,12 011002
44.173259,-20.78652,68.454521,44:24.0,2 012202
44.173351,-20.786555,66.978218,54:12.0,2 012201
44.173053,-20.7788,66.14946,24:34.0,6 022204
44.172767,-20.778724,61.285587,32:42.0,6 022603
44.172811,-20.778704,59.927105,51:45.0,6 022604
44.172945,-20.778806,61.395557,01:57.0,6 022202
44.173015,-20.778806,63.076008,24:53.0,6 022601
44.1724,-20.779278,68.205414,33:14.0,6 022205
44.174821,-20.783819,67.243584,34:25.0,3 020603
44.174278,-20.783895,63.630829,44:05.0,3 020604
44.173951,-20.783793,62.103321,53:57.0,3 020605
44.17435,-20.784013,68.391586,34:51.0,3 022702
